line,translation
"a,ab (ablative)",by from
"acer, acris, acre",bitter
"acriter",bitterly
"ad (to, toward)","to, towards"
"adeo","thus far, even"
"adhoc",to this
"adjuvo, adjuvare, adjuvi, adjutus",to aid
"administro, adminstrare, adminstravi, administratus","to manage, to administrate"
"adventus, adventus",arrival
"aeger, aegra, aegrum ",sick
"ager, agri",field
"ago, agere, egi, actus","to do, to act, to drive"
"agricola, agricolae",farmer
"altus a um",high
"amice",friendly
"amicus, amici",friend
"animal, animalis",animal
"ante (accusative)",before
"apud (acc)","among, at,  near"
"aqua, -ae",water
"arbor, arboris",tree
"artifex, artificis",artist
"audio, audire, audivi, auditus","to hear, to listen"
"aut, aut…aut","or, either….or"
"autem",however
"autumnus, autumni","fall, autumn, harvest"
"bene",well
"benedico, benedicere, benedixi, benedictus","to bless,to  speak well"
"bibo, bibere, bibi, bibitus",to drink
"bonus, - a, -um",good
"caelum, caeli",heaven
"Caesar, Caesaris ",Caesar
"canis, canis",dog
"canto, cantare, cantavi, cantatus",to sing
"care",dearly
"carmen, carminis",song
"cedo, cedere, cessi, cessus","to yield, to leave"
"celebro, celebrare, celebravi, celebratus ",to celebrate
"celer, celeris, celere",swift
"cena, -ae",dinner
"Cicero, Ciceronis",Cicero
"civis, civis",citizen
"civitas, civitatis",state
"collis, collis (m) ",hill
"conservo, conservare, conservavi, conservatus",to save
"consumo, consumere, consumpsi, consumptus ",destroy
contra (acc) ,against
"convoco, convocare, convocavi, convocatus",to call together
"cornu, cornus ",horn
"corpus, corporis",body
cras,tomorrow
"crux, crucis",cross
"cum (abl)","with, when"
"cur",why
"curro, currere, cucurri, cursus",to run 
"de (abl)","concerning, about, down from"
"defendo, defendere, defendi, defensus",to defend
deinde ,"then, next"
"Deus, Dei ",God
"dico, dicere, dixi, dictus","to speak, to say, to tell"
"dies, diei",day
difficile,difficulty
"difficilis, difficile",difficult
"diligo, diligere, dilexi, dilectus",to love
diu ,for a long time
"do, dare, dedi, datus",to give
"doceo, docere, docui, doctus",to teach
"dolor, doloris","sorrow, pain"
"dominus, domini","lord, master"
"domus, domus",house
"donum, doni",gift
"duco, ducere, duxi, ductus",to lead
"dux, ducis",leader
"edo, edere, edi, esus",to eat
eheu,alas
ergo,therefore
"et",and
facile,easily
"femina, -ae",woman
"fides, fidei (s)",faith
"flumen, fluminis",river
"fons, fontis (M) ",fountain
"fortis, forte",brave
fortiter,bravely
"frumentum, frumenti",grain
"fumus, fumi",smoke
"Gallia, Galliae",France
"Gallus, Galli ",Frenchman
"gens, gentis",tribe
"genu, genus",knee
"gero, gerere, gessi, gestus","to wage, to carry on"
"Graecia, Graciae",Greece
"Graecus, Graeci",Greek
"granatum, granati",pomegranate
"gratia, gratiae",grace
"herba, herbae",herbs
heri,yesterday
hic,here
"historia, historiae",history
hodie,today
"homo, hominis",man
"hortus, -i",garden
"hostis, hostis",enemy
ibi,there
"ignis, ignis",fire
"imperator, imperatoris",general
"impetus, impetus",attack
in (ablative) ,"in, on"
in (accusative) ,"into, onto"
"incendo, indendere, incendi, incensus",to burn
ingens,huge
"invenio, invenire, inveni, inventus",to find
"Italia, -ae",Italy
Iterum,again
"juvenis, juvenis (M/F) ",youth
"latus, - a, -um","wide, broad"
"laudo, laudare, laudavi laudatus",to praise
"leo, leonis",lion
"lex, legis",law
longe,"far, for a long while"
"lux, lucis",light
"magnus, -a, -um",great
"malus, -a, -um","bad, evil"
"maneo, manere, mansi, mansus","to remain, to stay "
"manus, manus",hand
"mare, maris",sea
"mater, matris",mother
"metuo, metuere, metui","fear, be afraid"
"miles, militis",soldier
"mitto, mittere, misi, missus",to send
"moneo, monere, monui, monitus","to warn, to advise"
"mons, montis",mountain
"multum",much
"multus, -a, -um","many, much"
"murmur,murmuris (n) ",tremor
"nauta, nautae",sailor
"navis, navis ",ship
nemo,no one
nihil,nothing
"non",not
"novus, a, um",new
"nunc",now
"nuntius, -i",messenger
"O",Oh
"occupo, occupare, occupavi, occupatus","to seize, to occupy"
"officium, officii","office, duty"
"omnis, omne","all, ever"
"oppugno, oppugnare oppugnavi, oppugnatus",to attack
"oro, orare, oravi, oratus","to pray, to beg"
"ovis, ovis",sheep
"panis, panis",bread
"pars, partis",part
"pastor, pastoris",shepherd
"pater, patris",father
"patria, patriae",fatherland
"pax, pacis  ",peace
"percipio, percipere, percepi, perceptus","to gain, to perceive, to secure"
"periculum, periculi",danger
"peto, petere, petivi, petitus","to seek, to beg"
"plenus, a,  um",full
"pluma, plumae",plume
"poeta, poetae",poet
"populus, populi",people
"porta, portae",gate
"porto, portare, portavi, portatus",to carry
"portus, portus",harbor
post (accusative),after
"potus, potus",drink
"pro (abl)",on behalf of (for) 
"proelium, proelii",battle
"prope",nearly
"puella, puellae",girl
"pugno, pugnare, pugnavi, pugnatus",to fight
qua ,where
quando,when
quid,what
quo,where
"regnum, -i",kingdom
"rego, regere, rexi, rectus",to rule
"res, rei","thing, affair"
"reverto, revertere, reverti","to return, to come back "
rex regis,king
"rogo, rogare, rogavi, rogatus",to ask
"Roma, Romae",Rome
saepe,often
"salus, salutis",safety
Salve,Hello
"sanctus, a um",holy
"scribo, scribere, scripsi, scriptus",to write
sed,but
"senatus, senatus",senate
"servo, servare, servavi, servatus","to keep,to guard"
"servus, servi",servant
simile,similarly
"sol, solis(m) ",sun
"spes, spei",hope
"spiritus, spiritus",spirit
"stultus, a um",foolish
"subito",suddenly
"sum, esse, fui, futurus",to be
tamen ,nevertheless
"teneo, tenere, tenui, tentus","hold, keep, comprehend, possess"
"terra, terrae","land, earth"
"terreo, terrere, terrui, territus",to terrify
"timeo, timere, timui","fear, be afraid"
trans  (accusative),across
ubi,where
"urbs, urbis ",city
vel,or
"venio, venire, veni, ventus",to come
"via, viae","way, road"
"victoria, victoriae",victory 
"video, videre, vidi, visus",to see
"vinco, vincere, vici, victus","conquer, overcome"
"vinum, vini",wine
"vir, viri",man
"virgo, virginis",virgin
"virtus, virtutis",virtue
"vita, vitae",life
"vivo, vivere vixi, victus","to live, to be alive"
"voco, vocare, vocavi, vocatus",to call
"volo, velle, volui","to want,to wish"
"vultus, vultus",face
"is, ea, id  (pronoun) ","he, she, it, his, hers, its "
"ei, eae, ea (pronoun) ","they, their "
"sui (pronoun)","himself, herself, itself, theirselves"
"suus, -a -um (adjective) ","his own, her own, its own, their own"
"noster, nostra, nostrum (adjective) ","our, ours"
"vester, vestra, vestrum (adjective) ","your, yours (plural) "
"tuus, a, um (adjective) ",you yours (singular)
"meus, a, um (adjective) ","my, mine"
"ego, mei (pronoun) ","I, me, myself"
"nos, nostri, nostrum (pronoun) ","we, us, ouselves"
"tu, tui (pronoun) ","you, yourself (singular)"
"vos, vestri, vestrum (pronoun) "," you, yourselves  (plural) "
"unus,  a, um","one, alone"
"totus, a, um","whole, all"
"solus, a, um","alone, only"
"ullus, a, um ",any
"nullus,  a, um",none
"alter, altera, alterum","one (of two), another"
"alius, alia, aliud","another, other"
"uter, utra, utrum","which (of two) , either"
"neuter, neutra, neutrum",neither
"ventus, venti",wind
"silva, silvae",forest
circa (acc) ,around
"mundus, mundi","world, universe"
"auxilium, auxilii","aid, help"
"sum,esse,fui,futurus", to be
"latrina","toilet"
"pecunia,pecuniae","money,property"
"nobilis, nobile", "renowned"